name,position,team
Josh Allen,QB,BUF
Patrick Mahomes II,QB,KC
Jonathan Taylor,RB,IND
Puka Nacua,WR,LAR
Baker Mayfield,QB,TB
Christian McCaffrey,RB,SF
Dak Prescott,QB,DAL
Jalen Hurts,QB,PHI
Matthew Stafford,QB,LAR
Drake Maye,QB,NE
Daniel Jones,QB,IND
Javonte Williams,RB,DAL
Amon-Ra St. Brown,WR,DET
Lamar Jackson,QB,BAL
Justin Herbert,QB,LAC
Jared Goff,QB,DET
James Cook III,RB,BUF
Emeka Egbuka,WR,TB
Bo Nix,QB,DEN
Justin Fields,QB,NYJ
Jahmyr Gibbs,RB,DET
Sam Darnold,QB,SEA
C.J. Stroud,QB,HOU
Caleb Williams,QB,CHI
Jaxon Smith-Njigba,WR,SEA
Kyler Murray,QB,ARI
Trevor Lawrence,QB,JAC
De'Von Achane,RB,MIA
Bijan Robinson,RB,ATL
Tua Tagovailoa,QB,MIA
Garrett Wilson,WR,NYJ
George Pickens,WR,DAL
Kyren Williams,RB,LAR
Spencer Rattler,QB,NO
Jordan Love,QB,GB
Deebo Samuel Sr.,WR,WAS
Quentin Johnston,WR,LAC
Saquon Barkley,RB,PHI
Geno Smith,QB,LV
Travis Etienne Jr.,RB,JAC
Ja'Marr Chase,WR,CIN
Rome Odunze,WR,CHI
J.K. Dobbins,RB,DEN
Ashton Jeanty,RB,LV
Josh Jacobs,RB,GB
Courtland Sutton,WR,DEN
Bryce Young,QB,CAR
Omarion Hampton,RB,LAC
David Montgomery,RB,DET
Justin Jefferson,WR,MIN
Jake Ferguson,TE,DAL
Tre Tucker,WR,LV
Davante Adams,WR,LAR
Michael Pittman Jr.,WR,IND
Aaron Rodgers,QB,PIT
Bucky Irving,RB,TB
Keenan Allen,WR,LAC
Kenneth Walker III,RB,SEA
Cam Skattebo,RB,NYG
Jaylen Waddle,WR,MIA
Nico Collins,WR,HOU
Zay Flowers,WR,BAL
Mac Jones,QB,SF
Jacory Croskey-Merritt,RB,WAS
Quinshon Judkins,RB,CLE
Derrick Henry,RB,BAL
Spencer Shrader,K,IND
Chase McLaughlin,K,TB
Jayden Daniels,QB,WAS
Dalton Kincaid,TE,BUF
Breece Hall,RB,NYJ
Jordan Mason,RB,MIN
Jake Browning,QB,CIN
Joey Slye,K,TEN
Brandon Aubrey,K,DAL
Ka'imi Fairbairn,K,HOU
